year	course_id	subject	catalog_nbr	school	gers	units_min	units_max	repeatable	term_id	section_nbr	class_id	component	enrollment	instructors	start_time	end_time	days
2015-2016	103093	AA	100	ENGR	"GER:DB-EngrAppSci, WAY-AQR, WAY-SMA"	3	3	FALSE	1162	1	16141	LEC	30	rallen10|pavone	1:30:00 PM	2:50:00 PM	Monday|Wednesday
2015-2016	103131	AA	210A	ENGR	None	3	3	FALSE	1162	1	16142	LEC	77	wongml|harell|cantwell	10:30:00 AM	11:50:00 AM	Tuesday|Thursday
2015-2016	217274	AA	214A	ENGR	None	3	3	FALSE	1162	1	30286	LEC	17	gerritsn|yeo|jsuckale	9:30:00 AM	10:20:00 AM	Monday|Wednesday|Friday
2015-2016	215840	AA	228	ENGR	None	3	4	FALSE	1162	1	15797	LEC	40	mykel|zouhair|joncox|cho3	1:30:00 PM	2:50:00 PM	Monday|Wednesday
2015-2016	103181	AA	240A	ENGR	None	3	3	FALSE	1162	1	16144	LEC	51	chengliu|dsalaza2|fkchang	1:30:00 PM	2:50:00 PM	Tuesday|Thursday
2015-2016	103184	AA	241A	ENGR	None	3	3	FALSE	1162	1	16145	LEC	17	kroo	1:30:00 PM	2:50:00 PM	Tuesday|Thursday
2015-2016	104933	AA	242A	ENGR	None	3	3	FALSE	1162	1	15360	LEC	62	skmrthy|atarano|sigridc	12:00:00 PM	1:20:00 PM	Tuesday|Thursday
2015-2016	216240	AA	270	ENGR	None	3	3	FALSE	1162	1	16595	LEC	5	damicos	1:30:00 PM	2:50:00 PM	Monday|Wednesday|Friday
2015-2016	203841	AA	284A	ENGR	None	3	3	FALSE	1162	1	29028	LEC	18	enver|pnarsai	9:00:00 AM	10:20:00 AM	Tuesday|Thursday
